ts,event_type,best_bid,best_ask,position,cash,equity
917,EXTERNAL_CANCEL,99,100,2,-148.00,51.00
920,EXTERNAL_MKT,98,100,2,-148.00,50.00
923,EXTERNAL_ADD,98,94,2,-148.00,44.00
925,EXTERNAL_MKT,98,100,2,-148.00,50.00
928,EXTERNAL_MKT,98,100,2,-148.00,50.00
931,EXTERNAL_CANCEL,98,100,2,-148.00,50.00
934,EXTERNAL_MKT,98,100,2,-148.00,50.00
936,EXTERNAL_ADD,98,98,2,-148.00,48.00
939,EXTERNAL_ADD,98,98,2,-148.00,48.00
940,EXTERNAL_MKT,98,98,2,-148.00,48.00
943,EXTERNAL_CANCEL,98,98,2,-148.00,48.00
945,EXTERNAL_ADD,98,98,2,-148.00,48.00
948,EXTERNAL_ADD,98,98,2,-148.00,48.00
951,EXTERNAL_ADD,98,98,2,-148.00,48.00
952,EXTERNAL_MKT,97,98,2,-148.00,47.00
954,EXTERNAL_ADD,97,98,2,-148.00,47.00
955,EXTERNAL_ADD,97,98,2,-148.00,47.00
958,EXTERNAL_CANCEL,97,98,2,-148.00,47.00
961,EXTERNAL_CANCEL,97,98,2,-148.00,47.00
964,EXTERNAL_ADD,97,98,2,-148.00,47.00
965,EXTERNAL_ADD,97,98,2,-148.00,47.00
966,EXTERNAL_ADD,97,98,2,-148.00,47.00
967,EXTERNAL_CANCEL,97,98,2,-148.00,47.00
970,EXTERNAL_ADD,97,98,2,-148.00,47.00
971,EXTERNAL_ADD,97,98,2,-148.00,47.00
974,EXTERNAL_ADD,97,97,2,-148.00,46.00
977,EXTERNAL_MKT,97,99,2,-148.00,48.00
978,EXTERNAL_ADD,97,99,2,-148.00,48.00
981,EXTERNAL_ADD,97,99,2,-148.00,48.00
982,EXTERNAL_ADD,97,99,2,-148.00,48.00
984,EXTERNAL_ADD,97,99,2,-148.00,48.00
986,EXTERNAL_CANCEL,97,99,2,-148.00,48.00
987,EXTERNAL_MKT,97,99,2,-148.00,48.00
989,EXTERNAL_ADD,97,99,2,-148.00,48.00
991,EXTERNAL_ADD,97,99,2,-148.00,48.00
992,EXTERNAL_ADD,97,99,2,-148.00,48.00
995,EXTERNAL_MKT,97,99,2,-148.00,48.00
996,EXTERNAL_MKT,97,100,2,-148.00,49.00
998,EXTERNAL_ADD,97,100,2,-148.00,49.00
